date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask,smoothed_wtravel_outside_state_5d,smoothed_wspent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,google_survey_cli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,negativeIncr,total_resultsIncr
2020-01-04,202001,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179143.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,202002,X,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180831.0,1322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,202003,X,US,,,,,,,657.1900000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176752.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,202004,X,US,,,,,,,753.0800000000000,,,49045.5918,46191.30330000000,42160.37880000000,39777.36110000000,44479.69630000000,42115.03460000000,51754.37230000000,49110.542599999900,67856.39650000000,64773.044500000000,38457.96210000000,36423.04350000000,44176.403200000000,41835.79,53438.39230000000,50827.02570000000,71098.79100000000,67858.50190000000,60492.020600000000,57612.98890000000,49452.0605,46802.4362,53099.887600000000,50422.590200000000,51316.445500000000,48670.85770000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,176066.0,13.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
2020-02-01,202005,X,US,,,,,,,745.04,,,56011.94710000000,53042.884400000000,48912.668300000000,46714.39920000000,51051.7941,48638.36690000000,59115.0149,56210.758800000000,76368.31730000000,72891.49380000000,44617.7645,42723.74120000000,50609.42300000000,48236.75290000000,61060.29170000000,58235.74900000000,79728.74140000000,76020.27630000000,68923.26720000000,66018.83160000000,56837.29930000000,54372.593300000000,60931.62890000000,58346.427900000000,57979.1409,55110.551500000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,175092.0,52.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0
2020-02-08,202006,X,US,,,,,,,742.5300000000000,,,56092.598500000000,54571.367100000000,49757.861100000000,48584.35770000000,51471.99120000000,50141.720000000000,58886.39820000000,57268.24820000000,75837.51950000000,74007.95530000000,45364.26960000000,44286.669800000000,50918.5314,49631.61920000000,60960.704600000000,59427.59830000000,79620.12090000000,77728.00370000000,68830.80320000000,67458.06970000000,57823.64280000000,56576.53270000000,61150.20490000000,59837.86230000000,58033.42890000000,56429.963600000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,177040.0,59.666666666666700,1.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0
2020-02-15,202007,X,US,6.0,2.0,15.0,3.0,2.0,-1.0,806.55,,,61794.167,59290.63520000000,53342.98680000000,51066.753900000100,56167.19220000000,53867.05720000000,65268.70840000000,62663.79490000000,86506.03809999990,84105.24270000010,48958.16850000000,46849.225600000000,55773.1703,53534.26090000000,67485.06970000010,65030.989600000000,89966.55150000000,87431.50829999990,77266.70060000000,75115.93470000000,62694.89330000000,60223.75710000000,67266.51679999990,64786.96110000000,64728.23050000010,62243.760100000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,175040.0,59.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0
2020-02-22,202008,X,US,3.5714285714285700,0.14285714285714300,12.714285714285700,0.14285714285714300,-2.7142857142857100,0.7142857142857140,818.4200000000000,,,63016.991600000000,59812.082000000000,54032.22320000000,50643.956600000000,56622.5536,53682.65490000000,65929.90130000000,62891.7901,89086.36860000000,86798.60540000000,48821.649000000000,45822.013900000000,56214.414,53316.584500000000,68422.37240000000,65515.642300000000,93639.90180000000,91186.43510000010,79546.577,76972.20650000000,63786.628500000000,60088.871900000000,68359.34010000000,64851.06880000000,66035.50060000010,63156.33780000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.542166732284680,,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,175393.0,506.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0
2020-02-29,202009,X,US,6.857142857142860,2.857142857142860,12.714285714285700,3.857142857142860,2.4285714285714300,-0.7142857142857140,825.4,,,64797.039400000000,61966.335100000000,58329.333600000000,54929.96840000000,59952.140500000000,57207.680500000000,68149.29160000000,65417.01220000000,87535.28000000000,85084.50620000000,53205.848600000000,50201.14020000000,59248.166900000000,56532.79180000000,70519.16400000000,67841.28900000000,91206.41809999990,88491.7544,79513.58500000000,76990.20870000000,66889.33859999990,63278.117500000000,71048.54260000000,67676.5223,67294.20900000000,64663.28760000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.505270380751280,,11.0,0.0,6517.0,0.0,0.0,5.0,0.0,0.0,176648.0,440.3333333333330,2.0,1.0,0.0,0.0,0.0,26.0,10.0,0.0,0.0
2020-03-07,202010,X,US,8.857142857142860,7.0,18.142857142857100,3.5714285714285700,3.0,-1.0,831.89,,,63330.906200000000,59993.52850000000,57847.12910000000,53892.437300000000,58830.24680000000,55600.90070000000,66627.65760000000,63459.04819999990,84725.22800000010,81669.37650000000,52568.009500000000,49020.434100000000,58279.114100000000,55124.162500000000,69051.11380000000,65919.31730000000,87833.73290000000,84412.64390000000,76915.57430000000,73840.64190000000,65372.08720000000,61143.754600000000,69551.1604,65668.19700000000,65760.06270000000,62651.68560000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.068340394792940,0.1,556.0,1148.0,6091.0,0.0,0.0,22.0,0.0,6.0,177707.0,271.0,18.0,16.0,0.0,0.0,0.0,417.0,391.0,6040.0,17843.0
