date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask,smoothed_wtravel_outside_state_5d,smoothed_wspent_time_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2020-01-04,202001,X,US,,,,,,,,,,,,,,,,,,179143.0,1231.0,,,,,,,,,
2020-01-11,202002,X,US,,,,,,,,,,,,,,,,,,180831.0,1539.6666666666700,,,,,,,,,
2020-01-18,202003,X,US,,,,,,,93.88428571428570,,,,,,,,,,,176752.0,1028.6666666666700,,,,,,,,,
2020-01-25,202004,X,US,,,,,,,107.58285714285700,,,,,,,,,,,176066.0,879.0,1.0,1.0,,,2.0,2.0,,,
2020-02-01,202005,X,US,,,,,,,106.4342857142860,,,,,,,,,,,175092.0,857.0,1.0,0.0,,,8.0,6.0,,,
2020-02-08,202006,X,US,,,,,,,106.0757142857140,,,,,,,,,,,177040.0,1028.6666666666700,1.0,0.0,,,12.0,4.0,,,
2020-02-15,202007,X,US,6.0,2.0,15.0,3.0,2.0,-1.0,115.22142857142900,,,,,,,,,,,175040.0,710.3333333333330,1.0,0.0,,,14.0,2.0,,,
2020-02-22,202008,X,US,3.5714285714285700,0.14285714285714300,12.714285714285700,0.14285714285714300,-2.7142857142857100,0.7142857142857140,116.91714285714300,,,,,,,,,,,175393.0,571.0,1.0,0.0,,,16.0,2.0,,,
2020-02-29,202009,X,US,6.857142857142860,2.857142857142860,12.714285714285700,3.857142857142860,2.4285714285714300,-0.7142857142857140,117.91428571428600,,,,,,,,,,,176648.0,289.3333333333330,2.0,1.0,,,26.0,10.0,,,
2020-03-07,202010,X,US,8.857142857142860,7.0,18.142857142857100,3.5714285714285700,3.0,-1.0,118.84142857142900,,,,,,,,,,0.1,177707.0,367.0,18.0,16.0,,,417.0,391.0,6044.0,740.0,6811.0
2020-03-14,202011,X,US,4.571428571428570,13.857142857142900,20.142857142857100,-3.857142857142860,-1.7142857142857100,1.0,108.85285714285700,,,,,,,,,,0.6,174586.66666666700,188.0,61.0,43.0,,,2952.0,2535.0,41151.0,4519.0,45806.0
2020-03-21,202012,X,US,-22.714285714285700,9.285714285714290,2.142857142857140,-28.571428571428600,-25.428571428571400,11.142857142857100,73.85428571428570,,,,,,,,,,2.9,175517.66666666700,430.3333333333330,482.0,421.0,,,26056.0,23104.0,296553.0,44472.0,341359.0
2020-03-28,202013,X,US,-41.57142857142860,-14.142857142857100,-11.571428571428600,-47.142857142857100,-41.42857142857140,17.428571428571400,54.932857142857100,,,,,,,,,,7.6,183165.33333333300,6188.666666666670,3018.0,2536.0,,,127417.0,101361.0,616805.0,136228.0,753732.0
2020-04-04,202014,X,US,-42.0,-15.0,-15.857142857142900,-50.0,-45.857142857142900,18.428571428571400,53.49,,,,,,,,,,9.5,201348.66666666700,25287.333333333300,11165.0,8147.0,,,319776.0,192359.0,788641.0,210289.0,1000497.0
