epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask_7d,smoothed_wspent_time_indoors_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202001,X,US,,,,,,,,,,,,,,,,,179143,1219,,,,,,,,,
202002,X,US,,,,,,,,,,,,,,,,,180831,1443.666667,,,,,,,,,
202003,X,US,,,,,,,109.5316667,,,,,,,,,,176752,1043.666667,,,,,,,,,
202004,X,US,,,,,,,107.5828571,,,,,,,,,,176066,900,1,1,,,2,2,,,
202005,X,US,,,,,,,106.4342857,,,,,,,,,,175092,885,1,0,,,8,6,,,
202006,X,US,,,,,,,106.0757143,,,,,,,,,,177040,1062.666667,1,0,,,12,4,,,
202007,X,US,6,2,15,3,2,-1,115.2214286,,,,,,,,,,175040,676.3333333,1,0,,,14,2,,,
202008,X,US,3.571428571,0.1428571429,12.71428571,0.1428571429,-2.714285714,0.7142857143,116.9171429,,,,,,,,,,175393,892.6666667,1,0,,,16,2,,,
202009,X,US,6.857142857,2.857142857,12.71428571,3.857142857,2.428571429,-0.7142857143,117.9142857,,,,,,,,,,176648,925.3333333,2,1,,,26,10,,,
202010,X,US,8.857142857,7,18.14285714,3.571428571,3,-1,118.8414286,,,,,,,,,0.1,177707,1207,18,16,,,417,391,6043,738,6808
202011,X,US,4.571428571,13.85714286,20.14285714,-3.857142857,-1.714285714,1,108.8528571,,,,,,,,,0.6,174586.6667,889,61,43,,,2952,2535,41153,4517,45805
202012,X,US,-22.71428571,9.285714286,2.142857143,-28.57142857,-25.42857143,11.14285714,73.85428571,,,,,,,,,2.9,175517.6667,884.6666667,482,421,,,26056,23104,296561,44481,341376
202013,X,US,-41.57142857,-14.14285714,-11.57142857,-47.14285714,-41.42857143,17.42857143,54.93285714,,,,,,,,,7.6,183165.3333,7060.333333,3018,2536,,,127417,101361,616821,136242,753762
202014,X,US,-42,-15,-15.85714286,-50,-45.85714286,18.42857143,53.49,,,,,,,,,9.5,201348.6667,26501,11192,8174,,,319776,192359,788671,210318,1000557
202015,X,US,-43.71428571,-14,-13.71428571,-52.14285714,-48.28571429,19.28571429,55.09714286,515,,,,,,,,9.2,214520.6667,40748.66667,25809,14617,0.8293546833,0.8525943,540714,220938,939478,236817,1178898
202016,X,US,-44.28571429,-19.28571429,-22,-51.14285714,-46.42857143,18.71428571,59.23142857,580,,,,,,,,9.9,208434.3333,36104.33333,40977,15168,0.7109041286,0.7307879857,738464,197750,892436,208409,1103351
202017,X,US,-40.14285714,-14.85714286,-8.571428571,-48.28571429,-44.57142857,17.71428571,66.66428571,373,,,,,,,,9.5,202815,31862.33333,56471,15494,0.6283897429,0.6441832143,944770,206306,1227019,226822,1457693
202018,X,US,-35,-10,1.714285714,-44.57142857,-42.57142857,15.28571429,73.83428571,516,,,,,,,,9.3,192206.3333,23523.33333,69838,13367,0.5088696714,0.5178459571,1138174,193404,1625160,248590,1881021
202019,X,US,-30.14285714,-3.571428571,9.428571429,-41.42857143,-39.57142857,14.57142857,83.30571429,472,,,,,,,,8.2,187279.3333,20350.33333,82112,12274,0.49114324,0.50380682,1313586,175412,1993825,229707,2230701
202020,X,US,-28.85714286,-5.142857143,14.42857143,-39.71428571,-37.57142857,13.85714286,94.042,453,,,,,,,,7.6,182580,16348.66667,92109,9997,0.4411105143,0.4548870143,1469597,156011,2466533,221355,2694167
202021,X,US,-25,-3.714285714,23.14285714,-37.57142857,-35.71428571,12.85714286,104.1614286,417,,,,,,,,7.4,176273,11610.33333,100574,8465,0.4459684143,0.4515527714,1623134,153537,2659918,214142,2881121
202022,X,US,-23.42857143,-3.571428571,40,-36.28571429,-37.14285714,12.42857143,109.4,309,,,,,,,,6.1,171612.6667,8739.333333,107119,6545,0.4345449,0.4478035714,1769320,146186,2991402,213529,3215530
202023,X,US,-19.14285714,-0.7142857143,38.28571429,-33,-30.42857143,10.57142857,115.5671429,208,,,,,,,,4.8,170409.3333,8234.333333,113021,5902,0.4603201143,0.4673836857,1919968,150648,3334239,211171,3553151
202024,X,US,-16.42857143,-0.7142857143,49.71428571,-30.28571429,-29.28571429,9.428571429,125.2528571,278,,,,,,,,4,168629,6974.333333,118115,5094,0.4843879857,0.4989538714,2068726,148758,3560353,220613,3788275
202025,X,US,-14.28571429,0.5714285714,59.42857143,-28,-29,8.428571429,131.5657143,246,,,,,,,,4,168949,7845.666667,122306,4191,0.5085006,0.5233573429,2251332,182606,3944298,318036,4270323
202026,X,US,-15.28571429,-1,56.57142857,-27.42857143,-29.85714286,8.714285714,134.1171429,469,,,,,,,,4.5,170405.3333,9916.333333,126173,3867,0.6046143571,0.6194119714,2511048,259716,4280505,400932,4690167
202027,X,US,-13.71428571,2.571428571,64.14285714,-27.71428571,-35.14285714,9,133.5028571,824,,,,,,,,5.9,173763,14022,129867,3694,0.6437962857,0.6672025714,2846609,335561,4697354,525121,5233373
202028,X,US,-15.71428571,-2.285714286,52.57142857,-27.71428571,-31.85714286,8.857142857,135.9857143,960,,,,,,,,7.6,178810.6667,19148.66667,135158,5291,0.6763143286,0.6913498714,3249993,403384,5343901,628932,5987435
202029,X,US,-14.71428571,-1.428571429,60.28571429,-28.14285714,-30.71428571,8.714285714,138.2885714,18510,,,,,,,,8.1,181165.6667,22337,140717,5559,0.7024192286,0.7161957571,3702785,452792,5895619,657782,6571929
