epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202001,X,US,,,,,,,,,,,,179143.0,1363.0,,,,,,,
202002,X,US,,,,,,,,,,,,180831.0,1638.666666666667,,,,,,,
202003,X,US,,,,,,,,,,,,176752.0,1025.6666666666667,,,,,,,
202004,X,US,,,,,,,,,,,,176066.0,889.0,1.0,1.0,2.0,2.0,,,
202005,X,US,,,,,,,,,,,,175092.0,1016.0,1.0,0.0,8.0,6.0,,,
202006,X,US,,,,,,,,,,,,177040.0,1071.6666666666667,1.0,0.0,12.0,4.0,,,
202007,X,US,6.0,2.0,15.0,3.0,2.0,-1.0,,,,,,175040.0,903.3333333333335,1.0,0.0,14.0,2.0,,,
202008,X,US,3.5714285714285716,0.14285714285714285,12.714285714285714,0.14285714285714285,-2.7142857142857144,0.7142857142857143,,,,,,175393.0,970.3333333333335,1.0,0.0,16.0,2.0,,,
202009,X,US,6.857142857142857,2.857142857142857,12.714285714285714,3.857142857142857,2.4285714285714284,-0.7142857142857143,,,,,,176648.0,923.3333333333335,2.0,1.0,26.0,10.0,,,
202010,X,US,8.857142857142858,7.0,18.142857142857142,3.5714285714285716,3.0,-1.0,,,,,0.1,177707.0,1214.0,18.0,16.0,417.0,391.0,6043.0,738.0,6808.0
202011,X,US,4.571428571428571,13.857142857142858,20.142857142857142,-3.857142857142857,-1.7142857142857142,1.0,,,,,0.6,174586.66666666663,922.0,61.0,43.0,2952.0,2535.0,41153.0,4517.0,45805.0
202012,X,US,-22.714285714285715,9.285714285714286,2.142857142857143,-28.571428571428573,-25.428571428571427,11.142857142857142,,,,,2.9,175517.66666666663,1073.0,482.0,421.0,26056.0,23104.0,296563.0,44482.0,341379.0
202013,X,US,-41.57142857142857,-14.142857142857142,-11.571428571428571,-47.142857142857146,-41.42857142857143,17.428571428571427,,,,,7.6,183165.3333333333,7553.666666666668,3018.0,2536.0,127417.0,101361.0,616846.0,136245.0,753790.0
202014,X,US,-42.0,-15.0,-15.857142857142858,-50.0,-45.857142857142854,18.428571428571427,,,,,9.5,201348.66666666663,27091.0,11165.0,8147.0,319789.0,192372.0,788701.0,210327.0,1000596.0
202015,X,US,-43.714285714285715,-14.0,-13.714285714285714,-52.142857142857146,-48.285714285714285,19.285714285714285,515.0,,,,9.2,214520.66666666663,42276.0,25786.0,14621.0,540741.0,220952.0,939543.0,236824.0,1178970.0
202016,X,US,-44.285714285714285,-19.285714285714285,-22.0,-51.142857142857146,-46.42857142857143,18.714285714285715,580.0,,,,9.9,208434.3333333333,36940.333333333336,40955.0,15169.0,738497.0,197756.0,892480.0,208422.0,1103408.0
202017,X,US,-40.142857142857146,-14.857142857142858,-8.571428571428571,-48.285714285714285,-44.57142857142857,17.714285714285715,373.0,,,,9.5,202815.0,33251.333333333336,56446.0,15491.0,944804.0,206307.0,1227064.0,226842.0,1457758.0
202018,X,US,-35.0,-10.0,1.7142857142857142,-44.57142857142857,-42.57142857142857,15.285714285714286,516.0,,,,9.3,192206.3333333333,24888.33333333333,69810.0,13364.0,1138215.0,193411.0,1625266.0,248636.0,1881173.0
202019,X,US,-30.142857142857142,-3.5714285714285716,9.428571428571429,-41.42857142857143,-39.57142857142857,14.571428571428571,472.0,,,,8.2,187279.3333333333,21380.33333333333,82066.0,12256.0,1313657.0,175442.0,1993898.0,229725.0,2230792.0
202020,X,US,-28.857142857142858,-5.142857142857143,14.428571428571429,-39.714285714285715,-37.57142857142857,13.857142857142858,453.0,,,,7.6,182580.0,17700.333333333332,92060.0,9994.0,1469668.0,156011.0,2466658.0,221375.0,2694311.0
202021,X,US,-25.0,-3.7142857142857144,23.142857142857142,-37.57142857142857,-35.714285714285715,12.857142857142858,417.0,,,,7.4,176273.0,12616.333333333336,100524.0,8464.0,1623208.0,153540.0,2660068.0,214152.0,2881281.0
202022,X,US,-23.428571428571427,-3.5714285714285716,40.0,-36.285714285714285,-37.142857142857146,12.428571428571429,309.0,,,,6.1,171612.66666666663,9737.666666666666,107056.0,6532.0,1769396.0,146188.0,2991928.0,213539.0,3216067.0
202023,X,US,-19.142857142857142,-0.7142857142857143,38.285714285714285,-33.0,-30.428571428571427,10.571428571428571,208.0,,,,4.8,170409.33333333337,8747.333333333334,112966.0,5910.0,1920049.0,150653.0,3334675.0,211183.0,3553599.0
202024,X,US,-16.428571428571427,-0.7142857142857143,49.714285714285715,-30.285714285714285,-29.285714285714285,9.428571428571429,278.0,,,,4.0,168629.0,7219.666666666668,118083.0,5117.0,2068840.0,148791.0,3560747.0,220630.0,3788686.0
202025,X,US,-14.285714285714286,0.5714285714285714,59.42857142857143,-28.0,-29.0,8.428571428571429,246.0,,,,4.0,168949.0,7682.0,122265.0,4182.0,2251503.0,182663.0,3944531.0,318063.0,4270583.0
202026,X,US,-15.285714285714286,-1.0,56.57142857142857,-27.428571428571427,-29.857142857142858,8.714285714285714,469.0,,,,4.5,170405.33333333337,9789.666666666666,126133.0,3868.0,2511278.0,259775.0,4280675.0,400964.0,4690369.0
202027,X,US,-13.714285714285714,2.5714285714285716,64.14285714285714,-27.714285714285715,-35.142857142857146,9.0,824.0,,,,5.9,173763.0,13541.666666666664,129801.0,3668.0,2846978.0,335700.0,4697546.0,525166.0,5233610.0
202028,X,US,-15.714285714285714,-2.2857142857142856,52.57142857142857,-27.714285714285715,-31.857142857142858,8.857142857142858,960.0,,,,7.6,178810.66666666663,18165.33333333333,135083.0,5282.0,3250559.0,403581.0,5344104.0,628981.0,5987687.0
202029,X,US,-14.714285714285714,-1.4285714285714286,60.285714285714285,-28.142857142857142,-30.714285714285715,8.714285714285714,18510.0,,,,8.1,181165.66666666663,21233.33333333333,140628.0,5545.0,3703556.0,452997.0,5895812.0,657841.0,6572181.0
202030,X,US,-15.285714285714286,-3.0,57.0,-28.857142857142858,-30.857142857142858,8.714285714285714,32787.0,,,,7.6,183280.0,22911.0,147106.0,6478.0,4166309.0,462753.0,6125219.0,631974.0,6788612.0
202031,X,US,-14.571428571428571,-2.7142857142857144,57.57142857142857,-28.285714285714285,-31.285714285714285,8.428571428571429,38499.0,,,,6.9,183221.0,22975.0,155013.0,7907.0,4602476.0,436167.0,5721573.0,531688.0,6279629.0
