epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,ili
202001,X,US,,,,,,,,,,,,179143,1174,,,,,,,,5.90066
202002,X,US,,,,,,,,,,,,180831,1377,,,,,,,,4.9402
202003,X,US,,,,,,,,,,,,176752,790.6666667,,,,,,,,5.33135
202004,X,US,,,,,,,,,,,,176066,924,1,1,2,2,,,,6.07822
202005,X,US,,,,,,,,,,,,175092,1053,1,0,8,6,,,,6.74724
202006,X,US,,,,,,,,,,,,177040,1093.666667,1,0,12,4,,,,6.80157
202007,X,US,6,2,15,3,2,-1,,,,,,175040,913.3333333,1,0,14,2,,,,6.11292
202008,X,US,3.571428571,0.142857143,12.71428571,0.142857143,-2.714285714,0.714285714,,,,,,175393,969.3333333,1,0,16,2,,,,5.52513
202009,X,US,6.857142857,2.857142857,12.71428571,3.857142857,2.428571429,-0.714285714,,,,,,176648,1129.333333,2,1,26,10,,,,5.12333
202010,X,US,8.857142857,7,18.14285714,3.571428571,3,-1,,,,,0.1,177707,1232,18,16,417,391,5996,733,6755,5.26652
202011,X,US,4.571428571,13.85714286,20.14285714,-3.857142857,-1.714285714,1,,,,,0.6,174586.6667,945.6666667,61,43,2952,2535,40535,4469,45139,5.66932
202012,X,US,-22.71428571,9.285714286,2.142857143,-28.57142857,-25.42857143,11.14285714,,,,,2.9,175517.6667,1141.666667,482,421,26056,23104,294532,44374,339240,6.38029
202013,X,US,-41.57142857,-14.14285714,-11.57142857,-47.14285714,-41.42857143,17.42857143,,,,,7.6,183165.3333,8221.666667,3018,2536,127417,101361,616140,136080,752919,4.91692
202014,X,US,-42,-15,-15.85714286,-50,-45.85714286,18.42857143,,,,,9.5,201348.6667,27566.33333,11578,8560,323953,196536,788926,210141,1000634,3.78625
202015,X,US,-43.71428571,-14,-13.71428571,-52.14285714,-48.28571429,19.28571429,515,,,,9.2,214520.6667,42093.33333,26286,14708,545298,221345,940175,236748,1179526,2.80122
202016,X,US,-44.28571429,-19.28571429,-22,-51.14285714,-46.42857143,18.71428571,580,,,,9.9,208434.3333,38487.66667,41512,15226,743405,198107,892736,208255,1103493,2.12907
202017,X,US,-40.14285714,-14.85714286,-8.571428571,-48.28571429,-44.57142857,17.71428571,373,,,,9.5,202815,34314.33333,56935,15423,949511,206106,1227187,226766,1457805,1.73315
202018,X,US,-35,-10,1.714285714,-44.57142857,-42.57142857,15.28571429,516,,,,9.3,192206.3333,25156.66667,70258,13323,1142454,192943,1624419,248374,1880049,1.40939
202019,X,US,-30.14285714,-3.571428571,9.428571429,-41.42857143,-39.57142857,14.57142857,472,,,,8.2,187279.3333,21736.66667,82477,12219,1317402,174948,1989986,229548,2226695,1.18297
202020,X,US,-28.85714286,-5.142857143,14.42857143,-39.71428571,-37.57142857,13.85714286,453,,,,7.6,182580,18179.33333,92357,9880,1473495,156093,2464793,221279,2692348,1.11444
202021,X,US,-25,-3.714285714,23.14285714,-37.57142857,-35.71428571,12.85714286,417,,,,7.4,176273,13232.66667,100756,8399,1626709,153214,2635714,212493,2855258,1.00534
202022,X,US,-23.42857143,-3.571428571,40,-36.28571429,-37.14285714,12.42857143,309,,,,6.1,171612.6667,9772.333333,107223,6467,1772108,145399,2994017,213265,3217891,0.88827
202023,X,US,-19.14285714,-0.714285714,38.28571429,-33,-30.42857143,10.57142857,208,,,,4.8,170409.3333,8957,113090,5867,1922168,150060,3332384,210837,3550970,0.814062
202024,X,US,-16.42857143,-0.714285714,49.71428571,-30.28571429,-29.28571429,9.428571429,278,,,,4,168629,7754,118159,5069,2070998,148830,3558625,220311,3786244,0.836751
202025,X,US,-14.28571429,0.571428571,59.42857143,-28,-29,8.428571429,246,,,,4,168949,8286,122313,4154,2253863,182865,3927668,317150,4252812,0.928418
202026,X,US,-15.28571429,-1,56.57142857,-27.42857143,-29.85714286,8.714285714,469,,,,4.5,170405.3333,9816,126175,3862,2514149,260286,4274165,398513,4681406,1.14217
202027,X,US,-13.71428571,2.571428571,64.14285714,-27.71428571,-35.14285714,9,824,,,,5.9,173763,13998.66667,129848,3673,2850717,336568,4712559,526396,5249859,1.27401
202028,X,US,-15.71428571,-2.285714286,52.57142857,-27.71428571,-31.85714286,8.857142857,960,,,,7.6,178810.6667,19313.33333,135136,5288,3255174,404457,5349010,629466,5993086,1.34924
202029,X,US,-14.71428571,-1.428571429,60.28571429,-28.14285714,-30.71428571,8.714285714,18510,,,,8.1,181165.6667,22335,140696,5560,3708546,453372,5901231,657150,6576911,1.34434
202030,X,US,-15.28571429,-3,57,-28.85714286,-30.85714286,8.714285714,32786,,,,7.6,183280,24328.66667,147164,6468,4170613,462067,6129931,632558,6793913,1.22153
202031,X,US,-14.57142857,-2.714285714,57.57142857,-28.28571429,-31.28571429,8.428571429,38501,,,,6.9,183221,24348,155040,7876,4605802,435189,5725307,531333,6282982,1.15258
202032,X,US,-13.85714286,-2.571428571,58,-28.14285714,-31.14285714,8.142857143,33256,,,,6.3,182113.6667,23089,162312,7272,4994624,388822,5569653,443369,6030021,1.0625
202033,X,US,-14.71428571,-3.714285714,56.28571429,-28.28571429,-31,7.714285714,31514,,,,5.6,182483,23376.33333,169376,7064,5386388,391764,5609639,385455,6011303,0.979884
202034,X,US,-15.14285714,-4.571428571,50.14285714,-28.71428571,-30.14285714,7.714285714,30668,,,,5.2,180131.6667,20600,175531,6155,5688164,301776,5517833,335467,5867189,0.968853
202035,X,US,-15.85714286,-5.571428571,41.14285714,-29.42857143,-29.57142857,8,29304,,,,4.4,176341,16428,181842,6311,5978678,290514,5568551,326469,5907465,1.00014
202036,X,US,-13.42857143,-3.285714286,48.71428571,-26.85714286,-29.85714286,6.714285714,27410,,,,4,174534,14417.66667,187651,5809,6265495,286817,5664463,313144,5989611,0.921454
202037,X,US,-15.71428571,-5.714285714,45.14285714,-30.14285714,-34.42857143,7.857142857,27625,,,,3.9,173160.3333,12097.33333,192771,5120,6510222,244727,5333218,263722,5606420,1.03555
202038,X,US,-15,-6,38.71428571,-29.28571429,-27,6.857142857,24455,,,,3.8,173715.3333,11388.66667,198184,5413,6800470,290248,6399518,303922,6713049,0.974333
202039,X,US,-15.28571429,-6.428571429,32.57142857,-30.14285714,-26.42857143,6.857142857,24483,,,,4.3,176335.3333,13490.66667,203497,5313,7093248,292778,6507384,317236,6834537,1.06408
202040,X,US,-14.57142857,-5,22.28571429,-29.71428571,-25.71428571,6.571428571,26996,,,,4.4,174017.3333,10618,208345,4848,7395369,302121,6471842,329455,6809876,1.0872
202041,X,US,-15.14285714,-5.142857143,27.71428571,-29,-26,6.571428571,32669,,,,5.4,179294.6667,14173.66667,213365,5020,7729830,334461,7590393,394097,8000761,1.20898
202042,X,US,-15.71428571,-6.285714286,21.28571429,-29.28571429,-26.57142857,7.428571429,36278,12,,,6.2,175484.3333,9914.333333,218514,5149,8118128,388298,7108851,440349,7572538,1.10874
202043,X,US,-16.57142857,-6.857142857,14.71428571,-29.14285714,-25.14285714,7.285714286,41090,218,,,7.4,179327,12359,224416,5902,8603119,484991,7955465,547979,8532148,1.18588
202044,X,US,-16.71428571,-5.714285714,1.857142857,-31.14285714,-25.42857143,7.857142857,46068,428,,,9.1,181971.3333,14529.66667,230494,6078,9175064,571945,8080429,650963,8761953,1.25
