epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness,ili
202001,X,US,,,,,,,,,,,,179143,1174,,,,,,,,4.6825,0.225,10.0425,2.8275,4.4975,4.3975,3.5,4.35,0.74,1.42,1.665,0.2175,0.185,0.3475,5.90066
202002,X,US,,,,,,,,,,,,180831,1380,,,,,,,,4.475714286,0.205714286,8.751428571,2.461428571,4.245714286,4.518571429,3.002857143,4.038571429,0.702857143,1.344285714,1.565714286,0.234285714,0.2,0.374285714,4.9402
202003,X,US,,,,,,,,,,,,176752,788.6666667,,,,,,,,4.658571429,0.217142857,7.818571429,2.3,4.17,4.508571429,3.007142857,4.011428571,0.69,1.302857143,1.581428571,0.232857143,0.217142857,0.391428571,5.33135
202004,X,US,,,,,,,,,,,,176066,923,1,1,2,2,,,,4.881428571,0.24,8.291428571,2.402857143,5.021428571,4.558571429,3.174285714,4.131428571,0.71,1.321428571,1.612857143,0.232857143,0.198571429,0.388571429,6.07822
202005,X,US,,,,,,,,,,,,175092,1083,1,0,8,6,,,,5.262857143,0.281428571,8.821428571,2.578571429,4.268571429,4.598571429,3.192857143,4.134285714,0.757142857,1.358571429,1.654285714,0.241428571,0.201428571,0.394285714,6.74724
202006,X,US,,,,,,,,,,,,177040,1082.666667,1,0,12,4,,,,5.25,0.284285714,8.781428571,2.657142857,4.191428571,4.575714286,3.28,4.132857143,0.777142857,1.364285714,1.562857143,0.235714286,0.192857143,0.395714286,6.80157
202007,X,US,6,2,15,3,2,-1,,,,,,175040,921.3333333,1,0,14,2,,,,4.99,0.262857143,8.292857143,2.575714286,4.21,4.55,3.2,4.101428571,0.748571429,1.354285714,1.587142857,0.24,0.201428571,0.392857143,6.11292
202008,X,US,3.571428571,0.142857143,12.71428571,0.142857143,-2.714285714,0.714285714,,,,,,175393,967.3333333,1,0,16,2,,,,4.784285714,0.25,8.062857143,2.552857143,4.341428571,4.681428571,3.148571429,4.087142857,0.757142857,1.352857143,1.63,0.242857143,0.198571429,0.408571429,5.52513
202009,X,US,6.857142857,2.857142857,12.71428571,3.857142857,2.428571429,-0.714285714,,,,,,176648,1129.333333,2,1,26,10,,,,5.112857143,0.245714286,8.202857143,2.547142857,4.234285714,4.581428571,3.094285714,4.147142857,0.782857143,1.324285714,1.592857143,0.254285714,0.192857143,0.432857143,5.12333
202010,X,US,8.857142857,7,18.14285714,3.571428571,3,-1,,,,,0.1,177707,1226.666667,18,16,417,391,5996,733,6755,5.545714286,0.287142857,9.238571429,2.985714286,4.071428571,4.507142857,3.034285714,4.151428571,0.884285714,1.325714286,1.527142857,0.33,0.191428571,0.405714286,5.26652
202011,X,US,4.571428571,13.85714286,20.14285714,-3.857142857,-1.714285714,1,,,,,0.6,174586.6667,939.6666667,61,43,2952,2535,40535,4469,45139,9.172857143,0.505714286,12.49428571,3.395714286,3.82,4.502857143,2.925714286,4.427142857,1.294285714,1.431428571,1.38,0.3,0.17,0.407142857,5.66932
202012,X,US,-22.71428571,9.285714286,2.142857143,-28.57142857,-25.42857143,11.14285714,,,,,2.9,175517.6667,1124.333333,482,421,26056,23104,294532,44374,339240,15.58571429,0.822857143,12.85428571,4.05,4.195714286,3.702857143,2.455714286,4.195714286,1.807142857,1.744285714,1.22,0.201428571,0.138571429,0.348571429,6.38029
202013,X,US,-41.57142857,-14.14285714,-11.57142857,-47.14285714,-41.42857143,17.42857143,,,,,7.6,183165.3333,8186,3018,2536,127417,101361,616178,136080,752957,11.00571429,0.727142857,9.568571429,2.942857143,4.45,3.755714286,2.267142857,3.755714286,1.75,1.867142857,1.322857143,0.217142857,0.138571429,0.352857143,4.91692
202014,X,US,-42,-15,-15.85714286,-50,-45.85714286,18.42857143,,,,,9.5,201348.6667,27532.33333,11578,8560,323953,196536,788962,210141,1000670,8.541428571,0.558571429,7.558571429,2.357142857,4.424285714,3.86,2.197142857,3.572857143,1.528571429,1.785714286,1.365714286,0.217142857,0.145714286,0.372857143,3.78625
