epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness
202001,X,US,,,,,,,,,,,,179143.0,1146.0,,,,,,,,4.6825,0.225,10.0425,2.8275,4.4975,4.3975,3.5,4.35,0.74,1.42,1.665,0.2175,0.185,0.34750000000000003
202002,X,US,,,,,,,,,,,,180831.0,1397.6666666666667,,,,,,,,4.475714285714285,0.2057142857142857,8.751428571428571,2.4614285714285713,4.2457142857142856,4.518571428571429,3.0028571428571427,4.038571428571428,0.7028571428571428,1.3442857142857143,1.5657142857142858,0.2342857142857143,0.2,0.3742857142857143
202003,X,US,,,,,,,,,,,,176752.0,1030.6666666666667,,,,,,,,4.658571428571428,0.21714285714285714,7.818571428571429,2.3000000000000003,4.17,4.508571428571428,3.007142857142857,4.011428571428572,0.6900000000000001,1.302857142857143,1.5814285714285714,0.23285714285714285,0.21714285714285714,0.39142857142857146
202004,X,US,,,,,,,,,,,,176066.0,886.0,1.0,1.0,2.0,2.0,,,,4.881428571428572,0.24000000000000002,8.291428571428572,2.402857142857143,5.021428571428571,4.558571428571429,3.174285714285714,4.131428571428572,0.71,1.3214285714285714,1.612857142857143,0.23285714285714285,0.19857142857142857,0.3885714285714285
202005,X,US,,,,,,,,,,,,175092.0,881.0,1.0,0.0,8.0,6.0,,,,5.262857142857143,0.2814285714285714,8.821428571428571,2.5785714285714287,4.268571428571429,4.598571428571428,3.192857142857143,4.134285714285714,0.7571428571428571,1.3585714285714285,1.6542857142857144,0.2414285714285714,0.20142857142857143,0.39428571428571424
202006,X,US,,,,,,,,,,,,177040.0,1068.6666666666667,1.0,0.0,12.0,4.0,,,,5.25,0.2842857142857143,8.781428571428572,2.657142857142857,4.191428571428571,4.575714285714286,3.2800000000000002,4.132857142857143,0.777142857142857,1.3642857142857143,1.562857142857143,0.2357142857142857,0.19285714285714287,0.39571428571428574
202007,X,US,6.0,2.0,15.0,3.0,2.0,-1.0,,,,,,175040.0,914.3333333333334,1.0,0.0,14.0,2.0,,,,4.99,0.26285714285714284,8.292857142857143,2.575714285714286,4.21,4.55,3.1999999999999997,4.101428571428571,0.7485714285714286,1.3542857142857143,1.587142857142857,0.24,0.20142857142857143,0.39285714285714285
202008,X,US,3.5714285714285716,0.14285714285714285,12.714285714285714,0.14285714285714285,-2.7142857142857144,0.7142857142857143,,,,,,175393.0,956.3333333333334,1.0,0.0,16.0,2.0,,,,4.784285714285715,0.25,8.062857142857142,2.552857142857143,4.341428571428572,4.681428571428571,3.1485714285714286,4.087142857142857,0.7571428571428571,1.352857142857143,1.6300000000000001,0.24285714285714285,0.19857142857142857,0.40857142857142853
202009,X,US,6.857142857142857,2.857142857142857,12.714285714285714,3.857142857142857,2.4285714285714284,-0.7142857142857143,,,,,,176648.0,912.3333333333334,2.0,1.0,26.0,10.0,,,,5.112857142857143,0.24571428571428572,8.202857142857143,2.5471428571428567,4.234285714285714,4.581428571428572,3.0942857142857143,4.147142857142858,0.7828571428571429,1.3242857142857143,1.592857142857143,0.2542857142857143,0.19285714285714287,0.43285714285714283
202010,X,US,8.857142857142858,7.0,18.142857142857142,3.5714285714285716,3.0,-1.0,,,,,0.1,177707.0,1231.6666666666667,18.0,16.0,417.0,391.0,5996.0,733.0,6755.0,5.545714285714285,0.2871428571428571,9.23857142857143,2.9857142857142853,4.071428571428571,4.507142857142857,3.0342857142857143,4.151428571428571,0.8842857142857143,1.3257142857142858,1.5271428571428571,0.33,0.19142857142857145,0.4057142857142857
202011,X,US,4.571428571428571,13.857142857142858,20.142857142857142,-3.857142857142857,-1.7142857142857142,1.0,,,,,0.6,174586.66666666666,932.0,61.0,43.0,2952.0,2535.0,40535.0,4469.0,45139.0,9.172857142857143,0.5057142857142857,12.494285714285715,3.3957142857142855,3.8200000000000003,4.502857142857143,2.9257142857142857,4.427142857142857,1.2942857142857143,1.4314285714285713,1.3800000000000001,0.3,0.16999999999999998,0.40714285714285714
202012,X,US,-22.714285714285715,9.285714285714286,2.142857142857143,-28.571428571428573,-25.428571428571427,11.142857142857142,,,,,2.9,175517.66666666666,1078.6666666666667,482.0,421.0,26056.0,23104.0,294545.0,44377.0,339256.0,15.585714285714285,0.8228571428571428,12.854285714285714,4.05,4.195714285714286,3.7028571428571433,2.4557142857142855,4.195714285714286,1.8071428571428572,1.7442857142857144,1.22,0.20142857142857143,0.1385714285714286,0.3485714285714286
202013,X,US,-41.57142857142857,-14.142857142857142,-11.571428571428571,-47.142857142857146,-41.42857142857143,17.428571428571427,,,,,7.7,183165.3333333333,7459.666666666667,3018.0,2536.0,127417.0,101361.0,616340.0,136093.0,753132.0,11.005714285714287,0.7271428571428571,9.56857142857143,2.942857142857143,4.45,3.755714285714286,2.2671428571428573,3.755714285714286,1.75,1.8671428571428572,1.3228571428571427,0.21714285714285714,0.1385714285714286,0.3528571428571428
202014,X,US,-42.0,-15.0,-15.857142857142858,-50.0,-45.857142857142854,18.428571428571427,,,,,9.5,201348.66666666663,26955.666666666668,11589.0,8571.0,323965.0,196548.0,789086.0,210173.0,1000826.0,8.541428571428572,0.5585714285714285,7.558571428571428,2.357142857142857,4.424285714285714,3.86,2.197142857142857,3.572857142857143,1.5285714285714285,1.7857142857142858,1.3657142857142859,0.21714285714285714,0.1457142857142857,0.3728571428571429
202015,X,US,-43.714285714285715,-14.0,-13.714285714285714,-52.142857142857146,-48.285714285714285,19.285714285714285,515.0,,,,9.2,214520.66666666663,42164.66666666666,26295.0,14706.0,545313.0,221348.0,940251.0,236779.0,1179633.0,6.58,0.43571428571428567,5.954285714285715,1.9714285714285715,4.251428571428571,3.7199999999999998,2.14,3.394285714285714,1.2785714285714285,1.6485714285714284,1.4028571428571428,0.24428571428571427,0.15,0.3385714285714286
202016,X,US,-44.285714285714285,-19.285714285714285,-22.0,-51.142857142857146,-46.42857142857143,18.714285714285715,580.0,,,,9.9,208434.3333333333,36865.0,41521.0,15226.0,743465.0,198152.0,892806.0,208288.0,1103596.0,4.99,0.31857142857142856,4.494285714285715,1.4985714285714287,4.024285714285715,3.6785714285714284,2.1128571428571425,3.25,0.9885714285714285,1.4585714285714284,1.412857142857143,0.2642857142857143,0.15,0.3314285714285714
202017,X,US,-40.142857142857146,-14.857142857142858,-8.571428571428571,-48.285714285714285,-44.57142857142857,17.714285714285715,373.0,,,,9.5,202815.0,33359.666666666664,56939.0,15418.0,949641.0,206176.0,1227301.0,226803.0,1457956.0,4.5128571428571425,0.27,4.008571428571429,1.3471428571428572,3.9957142857142856,3.8428571428571425,2.138571428571429,3.2800000000000002,0.9114285714285714,1.412857142857143,1.3914285714285715,0.25,0.15714285714285717,0.3442857142857143
202018,X,US,-35.0,-10.0,1.7142857142857142,-44.57142857142857,-42.57142857142857,15.285714285714286,516.0,,,,9.4,192206.3333333333,24951.0,70289.0,13350.0,1142621.0,192980.0,1624565.0,248431.0,1880252.0,4.377142857142857,0.2342857142857143,3.6157142857142857,1.2542857142857142,3.9642857142857144,3.8771428571428572,2.1257142857142854,3.2885714285714287,0.8514285714285714,1.3757142857142857,1.4042857142857144,0.24,0.15714285714285717,0.3514285714285714
202019,X,US,-30.142857142857142,-3.5714285714285716,9.428571428571429,-41.42857142857143,-39.57142857142857,14.571428571428571,472.0,,,,8.2,187279.3333333333,21453.33333333333,82502.0,12213.0,1318360.0,175739.0,1990114.0,229592.0,2226868.0,5.6571428571428575,0.21142857142857144,3.357142857142857,1.187142857142857,3.7685714285714282,3.8871428571428575,2.0942857142857143,3.224285714285714,0.78,1.2971428571428572,1.3771428571428572,0.23428571428571426,0.1542857142857143,0.34714285714285714
202020,X,US,-28.857142857142858,-5.142857142857143,14.428571428571429,-39.714285714285715,-37.57142857142857,13.857142857142858,453.0,,,,7.7,182580.0,17710.666666666668,92374.0,9872.0,1473808.0,155448.0,2465001.0,221328.0,2692606.0,5.801428571428572,0.21857142857142858,3.2342857142857144,1.167142857142857,3.7885714285714287,3.9299999999999997,2.138571428571429,3.2600000000000002,0.7585714285714287,1.2842857142857143,1.4114285714285713,0.22571428571428573,0.15571428571428572,0.3485714285714286
202021,X,US,-25.0,-3.7142857142857144,23.142857142857142,-37.57142857142857,-35.714285714285715,12.857142857142858,417.0,,,,7.4,176273.0,12603.333333333334,100773.0,8399.0,1627394.0,153586.0,2636024.0,212555.0,2855630.0,4.228571428571429,0.20285714285714285,2.987142857142857,1.1371428571428572,3.815714285714286,3.9285714285714284,2.1485714285714286,3.322857142857143,0.7328571428571429,1.262857142857143,1.437142857142857,0.23428571428571426,0.1542857142857143,0.35000000000000003
202022,X,US,-23.428571428571427,-3.5714285714285716,40.0,-36.285714285714285,-37.142857142857146,12.428571428571429,309.0,,,,6.1,171612.66666666666,9888.0,107236.0,6463.0,1772785.0,145391.0,2994226.0,213345.0,3218180.0,3.584285714285714,0.19142857142857145,2.7328571428571427,1.1057142857142856,3.748571428571428,3.8299999999999996,2.164285714285714,3.334285714285714,0.76,1.2671428571428573,1.4485714285714286,0.2285714285714286,0.15142857142857144,0.3457142857142857
202023,X,US,-19.142857142857142,-0.7142857142857143,38.285714285714285,-33.0,-30.428571428571427,10.571428571428571,208.0,,,,4.8,170409.33333333334,9075.0,113107.0,5871.0,1922435.0,149650.0,3332598.0,210877.0,3551224.0,3.334285714285714,0.18,2.5357142857142856,1.04,3.617142857142857,3.751428571428572,2.087142857142857,3.2457142857142856,0.7071428571428572,1.2428571428571427,1.4057142857142857,0.24285714285714285,0.1542857142857143,0.35571428571428576
202024,X,US,-16.428571428571427,-0.7142857142857143,49.714285714285715,-30.285714285714285,-29.285714285714285,9.428571428571429,278.0,,,,4.0,168629.0,7662.333333333333,118173.0,5066.0,2071220.0,148785.0,3559082.0,220344.0,3786734.0,3.5271428571428567,0.19285714285714287,2.664285714285714,1.1042857142857143,3.781428571428571,4.13,2.2600000000000002,3.487142857142857,0.6971428571428572,1.2685714285714287,1.522857142857143,0.24,0.16142857142857145,0.38285714285714284
202025,X,US,-14.285714285714286,0.5714285714285714,59.42857142857143,-28.0,-29.0,8.428571428571429,246.0,,,,4.0,168949.0,8230.333333333334,122323.0,4150.0,2254074.0,182854.0,3928005.0,317194.0,4253193.0,3.7414285714285715,0.23142857142857146,2.975714285714286,1.2042857142857142,3.85,4.265714285714286,2.3714285714285714,3.642857142857143,0.7071428571428572,1.2842857142857143,1.5557142857142858,0.23714285714285713,0.15857142857142859,0.39999999999999997
202026,X,US,-15.285714285714286,-1.0,56.57142857142857,-27.428571428571427,-29.857142857142858,8.714285714285714,469.0,,,,4.5,170405.33333333334,10263.0,126188.0,3865.0,2514306.0,260232.0,4274443.0,398607.0,4681778.0,4.271428571428571,0.2928571428571428,4.668571428571428,1.3257142857142858,4.005714285714285,4.425714285714286,2.43,3.882857142857143,0.7885714285714286,1.3457142857142856,1.637142857142857,0.24428571428571427,0.1642857142857143,0.41285714285714287
202027,X,US,-13.714285714285714,2.5714285714285716,64.14285714285714,-27.714285714285715,-35.142857142857146,9.0,824.0,,,,6.0,173763.0,14272.666666666666,129870.0,3682.0,2850894.0,336588.0,4712728.0,526516.0,5250148.0,4.49,0.3157142857142857,3.7871428571428574,1.4157142857142857,4.077142857142857,4.28,2.4214285714285713,3.924285714285714,0.7928571428571428,1.3857142857142857,1.6228571428571428,0.24428571428571427,0.15857142857142859,0.3985714285714286
202028,X,US,-15.714285714285714,-2.2857142857142856,52.57142857142857,-27.714285714285715,-31.857142857142858,8.857142857142858,960.0,,,,7.7,178810.66666666666,18988.33333333333,135165.0,5295.0,3255189.0,404295.0,5349230.0,629631.0,5993471.0,4.795714285714285,0.3314285714285714,3.5485714285714285,1.502857142857143,4.1242857142857146,4.467142857142857,2.4971428571428573,4.0,0.8442857142857143,1.4142857142857144,1.7057142857142857,0.2542857142857143,0.16999999999999998,0.42
202029,X,US,-14.714285714285714,-1.4285714285714286,60.285714285714285,-28.142857142857142,-30.714285714285715,8.714285714285714,18510.0,,,,8.1,181165.66666666663,21657.666666666668,140732.0,5567.0,3708611.0,453422.0,5901524.0,657319.0,6577373.0,4.82,0.3085714285714286,3.544285714285714,1.5314285714285716,4.1814285714285715,4.401428571428572,2.434285714285714,3.8628571428571425,0.8371428571428572,1.412857142857143,1.6685714285714286,0.24,0.16857142857142857,0.4228571428571429
202030,X,US,-15.285714285714286,-3.0,57.0,-28.857142857142858,-30.857142857142858,8.714285714285714,32786.0,,,,7.6,183280.0,24021.666666666668,147193.0,6461.0,4170676.0,462065.0,6130110.0,632733.0,6794270.0,4.302857142857143,0.26571428571428574,3.3557142857142854,1.4814285714285713,4.1571428571428575,4.341428571428572,2.4457142857142857,3.88,0.78,1.3785714285714286,1.6342857142857141,0.23857142857142857,0.16999999999999998,0.41285714285714287
202031,X,US,-14.571428571428571,-2.7142857142857144,57.57142857142857,-28.285714285714285,-31.285714285714285,8.428571428571429,38501.0,,,,6.9,183221.0,23867.666666666668,155088.0,7895.0,4605922.0,435246.0,5725452.0,531457.0,6283254.0,4.132857142857143,0.25285714285714284,3.251428571428572,1.4728571428571429,4.134285714285714,4.258571428571429,2.4314285714285715,3.9771428571428573,0.7471428571428572,1.3728571428571428,1.6128571428571428,0.24571428571428572,0.16857142857142857,0.4042857142857143
202032,X,US,-13.857142857142858,-2.5714285714285716,58.0,-28.142857142857142,-31.142857142857142,8.142857142857142,33256.0,,,,6.3,182113.66666666663,22200.33333333333,162352.0,7264.0,4994709.0,388787.0,5569782.0,443486.0,6030267.0,3.8985714285714286,0.2357142857142857,3.1757142857142857,1.4185714285714286,4.0371428571428565,4.247142857142857,2.3714285714285714,4.0371428571428565,0.7042857142857143,1.3485714285714285,1.59,0.2571428571428572,0.17714285714285713,0.39999999999999997
202033,X,US,-14.714285714285714,-3.7142857142857144,56.285714285714285,-28.285714285714285,-31.0,7.714285714285714,31514.0,,,,5.7,182483.0,22204.33333333333,169419.0,7067.0,5386449.0,391740.0,5609796.0,385575.0,6011580.0,3.7314285714285718,0.22142857142857145,3.12,1.3771428571428572,3.9857142857142853,4.251428571428572,2.347142857142857,3.85,0.6785714285714286,1.2757142857142856,1.5785714285714287,0.25285714285714284,0.17285714285714285,0.3985714285714286
202034,X,US,-15.142857142857142,-4.571428571428571,50.142857142857146,-28.714285714285715,-30.142857142857142,7.714285714285714,30668.0,,,,5.2,180131.66666666666,19967.666666666668,175574.0,6155.0,5688219.0,301770.0,5518003.0,335577.0,5867470.0,3.575714285714286,0.20285714285714285,3.032857142857143,1.332857142857143,3.89,4.177142857142857,2.302857142857143,3.6814285714285715,0.6542857142857142,1.2328571428571427,1.5371428571428571,0.2571428571428572,0.17142857142857143,0.42428571428571427
202035,X,US,-15.857142857142858,-5.571428571428571,41.142857142857146,-29.428571428571427,-29.571428571428573,8.0,29304.0,,,,4.4,176341.0,15392.666666666666,181864.0,6290.0,5978795.0,290576.0,5568726.0,326573.0,5907744.0,3.44,0.1985714285714286,2.9614285714285713,1.3157142857142858,3.837142857142857,4.1571428571428575,2.2842857142857143,3.654285714285714,0.6485714285714286,1.217142857142857,1.5157142857142856,0.25142857142857145,0.16714285714285718,0.39285714285714285
202036,X,US,-13.428571428571429,-3.2857142857142856,48.714285714285715,-26.857142857142858,-29.857142857142858,6.714285714285714,27403.0,,,,4.0,174534.0,13532.0,187687.0,5823.0,6265684.0,286889.0,5664639.0,313225.0,5989872.0,3.4414285714285713,0.20142857142857143,3.0142857142857147,1.3285714285714287,3.8614285714285717,4.277142857142858,2.3185714285714285,3.692857142857143,0.6657142857142857,1.2742857142857142,1.5400000000000003,0.27285714285714285,0.16999999999999998,0.4014285714285714
202037,X,US,-15.714285714285714,-5.714285714285714,45.142857142857146,-30.142857142857142,-34.42857142857143,7.857142857142857,27621.0,,,,3.9,173160.33333333334,11776.666666666666,192805.0,5118.0,6510479.0,244795.0,5333372.0,263791.0,5606643.0,3.4299999999999997,0.19428571428571426,3.108571428571428,1.3371428571428574,3.845714285714286,4.225714285714285,2.2671428571428573,3.6557142857142857,0.6714285714285715,1.23,1.5457142857142858,0.2671428571428571,0.16714285714285712,0.3914285714285714
202038,X,US,-15.0,-6.0,38.714285714285715,-29.285714285714285,-27.0,6.857142857142857,24457.0,,,,3.8,173715.33333333334,11710.0,198205.0,5400.0,6800799.0,290320.0,6399751.0,304001.0,6713362.0,3.5014285714285713,0.19857142857142857,3.204285714285714,1.3599999999999999,3.827142857142857,4.312857142857143,2.2199999999999998,3.572857142857143,0.6857142857142857,1.2328571428571427,1.4928571428571427,0.29285714285714287,0.17142857142857143,0.40714285714285714
202039,X,US,-15.285714285714286,-6.428571428571429,32.57142857142857,-30.142857142857142,-26.428571428571427,6.857142857142857,24484.0,,,,4.3,176335.33333333334,13918.0,203515.0,5310.0,7094715.0,293916.0,6507584.0,317331.0,6834832.0,3.5242857142857145,0.20857142857142857,3.4057142857142857,1.4142857142857144,3.837142857142857,4.378571428571428,2.2257142857142855,3.5414285714285714,0.6928571428571428,1.2357142857142858,1.4885714285714287,0.2842857142857143,0.17285714285714285,0.40857142857142853
202040,X,US,-14.571428571428571,-5.0,22.285714285714285,-29.714285714285715,-25.714285714285715,6.571428571428571,26996.0,,,,4.4,174017.33333333334,11158.666666666666,208402.0,4887.0,7395488.0,300773.0,6472079.0,329573.0,6810233.0,3.5685714285714285,0.24571428571428572,3.5042857142857144,1.4314285714285713,3.8314285714285714,4.474285714285714,2.3757142857142854,3.4985714285714287,0.6942857142857143,1.6657142857142857,1.4885714285714287,0.30428571428571427,0.17142857142857143,0.42142857142857143
202041,X,US,-15.142857142857142,-5.142857142857143,27.714285714285715,-29.0,-26.0,6.571428571428571,32667.0,,,,5.4,179294.66666666666,15407.0,213421.0,5019.0,7730091.0,334603.0,7590640.0,394208.0,8001119.0,3.8971428571428572,0.26285714285714284,3.8300000000000005,1.5214285714285716,3.91,4.49,2.345714285714286,3.518571428571429,0.76,1.3257142857142856,1.4957142857142858,0.2742857142857143,0.18142857142857144,0.42714285714285716
202042,X,US,-15.714285714285714,-6.285714285714286,21.285714285714285,-29.285714285714285,-26.571428571428573,7.428571428571429,36279.0,12.0,,,6.2,175484.33333333334,10752.333333333334,218547.0,5126.0,8118715.0,388624.0,7109097.0,440476.0,7572911.0,3.532857142857143,0.22,3.6371428571428575,1.4428571428571428,3.9085714285714284,4.29,2.312857142857143,3.4614285714285713,0.7128571428571429,1.2485714285714287,1.502857142857143,0.2714285714285714,0.18285714285714286,0.41000000000000003
202043,X,US,-16.571428571428573,-6.857142857142857,14.714285714285714,-29.142857142857142,-25.142857142857142,7.285714285714286,41091.0,218.0,,,7.4,179327.0,13391.0,224438.0,5891.0,8604189.0,485474.0,7955708.0,548112.0,8532524.0,3.5614285714285714,0.22428571428571428,3.7314285714285718,1.4585714285714284,3.94,4.402857142857143,2.2885714285714287,3.4785714285714286,0.7142857142857143,1.2571428571428573,1.5385714285714285,0.26857142857142857,0.18142857142857144,0.4185714285714286
202044,X,US,-16.714285714285715,-5.714285714285714,1.8571428571428572,-31.142857142857142,-25.428571428571427,7.857142857142857,46066.0,428.0,,,9.2,181971.3333333333,15393.666666666666,230515.0,6077.0,9176351.0,572162.0,8080770.0,651115.0,8762446.0,3.5471428571428567,0.22142857142857145,3.822857142857143,1.4742857142857144,3.8314285714285714,4.197142857142857,2.3042857142857143,3.3642857142857143,0.7357142857142858,1.2357142857142858,1.4642857142857142,0.2842857142857143,0.17857142857142858,0.3914285714285714
202045,X,US,-16.571428571428573,-7.428571428571429,6.142857142857143,-32.57142857142857,-25.428571428571427,7.857142857142857,55401.0,477.0,,,12.1,192649.0,24297.33333333333,238006.0,7491.0,9953779.0,777428.0,8786222.0,885771.0,9697026.0,3.6228571428571428,0.25,3.8514285714285714,1.5399999999999998,3.801428571428571,3.9585714285714286,2.1928571428571426,3.1671428571428573,0.6685714285714285,1.1942857142857142,1.417142857142857,0.31285714285714283,0.17285714285714285,0.37714285714285717
